Bill Of Quantity,,
Project,Riverlands - RL2B,
Scope,ICT and Security,
,,
,,
Item,Description,Total
,,
,Price Summary,
,,
0100,Preliminary & General - Fixed,R0.00
0400 - 0700,"Quality Systems, Testing & Commissioning, Guarantee and Maintenance, Training & Handover ",R0.00
1000,Electronic Security System,R0.00
2000,CCTV Licensing,R0.00
3000,Electronic Surveillance Cameras and Peripherals,R0.00
4000,Active Switching,R0.00
5000,Access Control,R0.00
7000,Passive Equipment,R0.00
8000,Equipment Rack,R0.00
9000,Structural Components,R0.00
11000,Power Distribution Units,R0.00
14000,PC Sums,R0.00
,,
,Sub Total,R0.00
,Vat @ 15%,R0.00
,,
,Grand Total,R0.00